CNPJ,M300(132)
00.001.172/0001-80,"324.334,40"
00.358.614/0001-40,"1.711.247,43"
00.631.648/0001-66,"556.825,00"
00.756.343/0001-80,"173.062,86"
01.061.837/0001-03,"14.873.665,40"
01.276.641/0001-36,"620.882,73"
01.279.835/0001-95,"9.250.178,40"
01.535.640/0001-69,"914.947,68"
01.710.918/0001-97,"8.849.629,40"
01.742.316/0001-11,"762.456,40"
01.757.090/0001-22,"482.215,92"
01.757.565/0001-80,"37.874,78"
01.761.016/0001-80,"57.179,35"
01.764.411/0001-16,"5.896.320,96"
01.772.939/0001-37,"55.707,50"
01.882.185/0001-78,"9.312.555,46"
01.897.509/0001-41,"5.282.286,08"
01.921.699/0001-95,"14.164.828,58"
02.010.387/0001-92,"239.097,60"
02.015.014/0001-04,"9.317.597,75"
02.131.538/0001-60,"57.770.284,07"
02.344.518/0001-78,"949.927,73"
02.346.363/0001-09,"426.752,00"
02.360.605/0001-19,"3.306.586,24"
02.380.966/0001-27,"2.029.864,15"
02.382.492/0001-52,"266.481,76"
02.388.498/0001-37,"420.850,08"
02.391.395/0001-26,"2.632.817,11"
02.393.067/0001-69,"67.526,65"
02.393.070/0001-82,"47.925,27"
02.396.921/0001-40,"395.270,26"
02.399.894/0001-60,"4.443.523,46"
02.404.038/0001-55,"918.884,00"
02.428.765/0001-52,"5.094.493,08"
02.539.160/0001-39,"567.992,35"
02.579.308/0001-69,"6.254.966,34"
03.224.045/0001-38,"9.307.550,47"
03.229.937/0001-21,"20.658.626,27"
03.384.021/0001-46,"2.508.833,60"
03.476.876/0001-05,"25.907.057,96"
03.521.447/0001-02,"1.044.606,55"
03.555.171/0001-75,"10.138.067,52"
03.652.435/0001-09,"1.008.620,80"
03.666.084/0001-95,"80.409,59"
03.699.194/0001-53,"13.256.555,23"
03.726.678/0001-44,"317.656,80"
03.873.325/0001-77,"318.137,40"
04.182.694/0001-86,"672.570,84"
04.208.405/0001-70,"191.768,00"
04.382.099/0001-94,"2.232.701,84"
04.387.825/0001-61,"12.320.252,70"
04.400.735/0001-63,"2.261.542,47"
04.436.460/0001-18,"332.756,62"
04.469.298/0001-34,"89.633,44"
04.503.707/0001-71,"1.259.824,80"
04.642.799/0001-70,"177.428,47"
04.832.721/0001-19,"29.656.260,76"
04.942.709/0001-67,"918.832,38"
05.094.622/0001-40,"647.732,69"
05.113.990/0001-98,"2.635.094,41"
05.302.072/0001-07,"262.341,60"
06.122.849/0001-14,"420.137,86"
06.178.113/0001-68,"225.959,13"
06.275.598/0001-08,"4.689.516,05"
06.847.495/0001-75,"11.859.467,35"
07.199.656/0001-24,"1.207.532,92"
07.199.664/0001-70,"32.955.645,63"
07.603.308/0001-70,"95.096,16"
07.803.640/0001-89,"797.787,07"
08.148.492/0001-79,"424.704,00"
08.584.526/0001-78,"3.953.714,41"
08.843.146/0001-00,"121.881,63"
08.843.575/0001-88,"8.919.971,32"
08.878.910/0001-83,"398.987,92"
08.948.547/0001-25,"102.943,36"
09.045.758/0001-10,"9.211.300,96"
09.045.774/0001-03,"199.114,73"
09.112.681/0001-54,"40.583,82"
09.168.704/0001-42,"4.587.096,40"
09.320.250/0001-83,"264.982,08"
09.368.242/0001-07,"329.844,43"
09.590.480/0001-62,"7.622.617,00"
09.949.314/0001-00,"1.103.834,96"
10.305.548/0001-01,"2.486.323,25"
10.740.348/0001-79,"17.223,80"
10.750.065/0001-08,"119.623,68"
10.770.600/0001-92,"216.166,67"
11.457.256/0001-49,"250.836,80"
11.743.564/0001-30,"4.837.972,18"
11.849.746/0001-90,"1.583.613,98"
11.996.667/0001-02,"1.563.343,80"
12.019.360/0001-14,"3.061.718,04"
12.186.524/0001-06,"12.346.563,92"
12.290.151/0001-00,"126.197,91"
12.347.589/0001-88,"155.886,71"
12.377.297/0001-98,"839.453,05"
12.706.990/0001-67,"102.256,00"
12.924.817/0001-35,"245.435,52"
12.926.657/0001-63,"1.588.020,41"
13.007.182/0001-74,"131.841,60"
13.029.459/0001-60,"7.779.383,51"
13.065.495/0001-89,"387.292,52"
13.079.397/0001-09,"2.673.573,92"
13.425.269/0001-61,"58.954.825,06"
13.476.833/0001-75,"7.752.087,37"
13.494.265/0001-35,"1.684.887,67"
13.810.015/0001-67,"849.340,20"
13.884.226/0001-44,"8.852.066,96"
13.954.433/0001-28,"687.450,42"
14.238.570/0001-29,"669.600,00"
14.613.673/0001-21,"524.178,00"
14.878.706/0001-65,"599.793,03"
15.122.492/0001-65,"9.331.434,06"
15.705.049/0001-17,"55.769,77"
15.929.060/0001-60,"3.542.800,57"
16.284.812/0001-46,"42.168,48"
16.314.163/0001-89,"7.909.023,88"
16.315.327/0001-92,"3.373.424,91"
16.395.923/0001-20,"3.997.232,00"
16.640.849/0001-60,"820.347,13"
17.184.649/0001-02,"677.839,60"
17.244.708/0001-90,"545.846,39"
17.247.891/0001-88,"3.409.541,00"
17.247.925/0001-34,"61.017.225,20"
17.270.950/0001-39,"4.370.642,16"
17.772.153/0001-50,"276.107,21"
19.600.758/0001-99,"179.473,37"
19.871.375/0001-55,"20.018.861,40"
20.060.471/0001-00,"8.335.523,02"
20.447.645/0001-84,"278.334,77"
20.480.448/0001-67,"459.692,80"
20.672.507/0001-07,"129.382,44"
20.751.657/0001-06,"22.900,05"
21.575.063/0001-46,"12.409.296,56"
23.188.717/0001-04,"48.875,68"
23.493.364/0001-56,"1.356.025,00"
23.970.247/0001-36,"1.061.079,32"
24.294.209/0001-73,"2.228.105,87"
24.612.251/0001-95,"6.347.932,28"
25.166.281/0001-88,"10.543.206,81"
25.288.333/0001-99,"10.562.445,54"
25.630.013/0001-75,"558.605,54"
25.631.672/0001-26,"21.593.516,70"
25.640.004/0001-65,"5.136.453,71"
25.649.179/0001-33,"14.487.696,40"
26.232.603/0001-02,"187.392,14"
26.770.404/0001-58,"1.850.968,95"
27.063.726/0001-20,"21.508.074,11"
27.219.328/0001-50,"108.799,55"
27.237.981/0001-41,"437.320,00"
27.419.100/0001-03,"2.872.279,55"
27.468.008/0001-33,"38.112,12"
27.646.975/0001-48,"636.520,17"
27.865.757/0001-02,"886.140.089,86"
27.906.734/0001-90,"23.720.347,91"
28.141.737/0001-43,"380.076,14"
28.485.076/0001-73,"706.867,14"
28.874.055/0001-40,"3.046.379,68"
29.060.043/0001-44,"317.493,71"
29.341.120/0001-34,"684.132,99"
29.576.576/0001-83,"3.266.290,70"
30.913.990/0001-10,"4.382.923,00"
31.296.882/0001-08,"7.479.507,08"
31.494.693/0001-40,"4.910.939,44"
31.692.999/0001-00,"1.799.755,20"
31.980.600/0001-97,"10.723.212,74"
32.417.164/0001-05,"352.162,30"
32.418.014/0001-16,"229.206,87"
32.435.315/0001-58,"3.323.790,92"
32.465.841/0001-60,"4.209.952,42"
33.050.733/0001-90,"2.287.729,55"
33.066.234/0001-90,"3.649.436,81"
33.300.914/0001-27,"2.365.729,20"
33.544.040/0001-53,"531.512,40"
34.267.617/0001-90,"1.495.978,57"
43.381.201/0001-99,"897.650,00"
43.837.392/0001-50,"74.807,09"
43.915.172/0001-06,"8.194.464,67"
43.924.497/0001-47,"2.672.230,50"
43.944.370/0001-90,"2.739.481,64"
44.060.192/0001-05,"11.536.284,16"
45.033.859/0001-35,"23.097.005,99"
45.039.237/0001-14,"77.741.116,00"
45.061.009/0001-40,"649.490,40"
46.049.326/0001-04,"1.381.258,36"
46.242.004/0001-87,"96.891.123,69"
46.721.148/0001-16,"2.157.352,65"
47.516.661/0001-38,"3.568.536,01"
48.060.727/0001-90,"16.019.242,56"
48.393.755/0001-20,"1.091.505,74"
48.665.517/0001-26,"219.378,01"
49.236.300/0001-63,"223.004,60"
49.403.371/0001-03,"5.767.178,39"
49.931.645/0001-37,"1.070.316,65"
50.023.373/0001-56,"21.093.144,73"
50.609.973/0001-09,"80.049,82"
51.882.850/0001-00,"70.206,99"
52.388.865/0001-70,"228.484,00"
54.022.488/0001-87,"1.462.792,91"
54.065.370/0001-36,"194.589,96"
54.313.556/0001-67,"1.775.307,73"
54.313.564/0001-03,"681.867,81"
55.629.216/0001-02,"954.761,02"
55.679.260/0001-27,"225.640,26"
56.407.083/0001-92,"23.199.023,85"
57.712.762/0001-38,"104.093,00"
57.728.743/0001-08,"3.424.991,37"
58.018.441/0001-09,"2.937.571,98"
58.780.453/0001-68,"32.489.660,67"
58.829.003/0001-12,"313.596,35"
58.832.528/0001-07,"338.621,70"
58.833.997/0001-40,"26.306.541,42"
59.152.629/0001-08,"14.570.574,40"
59.158.535/0001-38,"4.036.281,00"
59.983.486/0001-78,"2.659.042,21"
