CNPJ,M300(132)
60.194.503/0001-77,"121.893,38"
60.509.239/0001-13,"34.371.204,71"
60.628.369/0001-75,"87.356.073,52"
60.628.922/0001-70,"9.415.863,42"
60.694.239/0001-30,"14.719.496,00"
62.589.932/0001-79,"225.077,39"
67.344.440/0001-37,"4.932.592,39"
68.025.535/0001-50,"514.220,00"
68.737.857/0001-22,"123.170.699,65"
75.387.274/0001-84,"1.407.342,25"
75.635.425/0001-76,"262.101,40"
76.012.145/0001-74,"954.828,00"
76.243.625/0001-46,"15.384.349,31"
76.368.240/0001-05,"4.162.487,64"
76.494.806/0001-45,"92.182.502,17"
76.498.864/0001-47,"378.201,25"
76.554.757/0001-99,"2.764.762,83"
76.600.188/0001-70,"7.057.113,90"
76.851.492/0001-90,"3.873.855,37"
77.070.332/0001-77,"2.058.588,00"
77.689.032/0001-70,"3.015.857,15"
77.827.673/0001-44,"455.311,46"
77.969.145/0001-20,"1.780.779,36"
78.647.633/0001-83,"4.751.525,88"
78.712.056/0001-66,"418.553,78"
78.837.515/0001-38,"228.160,80"
79.107.918/0001-94,"5.158.401,35"
79.135.760/0001-66,"14.947.288,96"
79.224.614/0001-07,"276.678,19"
79.228.094/0001-00,"461.729,74"
79.419.289/0001-38,"192.595,05"
79.469.813/0001-85,"1.984.770,40"
79.845.830/0001-70,"1.493.539,48"
79.875.902/0001-21,"11.453.985,36"
80.242.720/0001-00,"8.860.283,70"
80.430.317/0001-05,"108.856,82"
80.548.332/0001-44,"332.653,68"
80.583.941/0001-34,"3.181.355,10"
80.592.488/0001-22,"6.734.259,71"
80.746.647/0001-04,"2.773.628,76"
80.774.391/0001-30,"1.320.672,00"
80.830.334/0001-21,"8.825.374,08"
80.830.573/0001-81,"1.142.332,00"
81.034.977/0001-21,"5.511.685,23"
81.057.994/0001-84,"972.909,54"
81.670.085/0001-17,"784.980,00"
82.611.617/0001-08,"10.189.629,16"
82.645.029/0001-95,"12.021.875,06"
82.916.503/0001-76,"6.187.888,40"
83.093.708/0001-61,"171.894,66"
83.513.010/0001-58,"47.331,55"
83.844.811/0001-04,"126.049,54"
83.879.239/0001-00,"313.825,09"
83.900.050/0001-52,"769.324,79"
84.432.897/0001-12,"253.379,62"
84.684.505/0001-02,"188.000,40"
87.185.468/0001-86,"9.740.082,86"
87.209.250/0001-14,"584.472,03"
87.463.535/0001-87,"915.591,05"
87.519.237/0001-61,"105.673,10"
87.750.121/0001-39,"357.248,60"
87.978.771/0001-36,"1.001.925,73"
88.404.645/0001-30,"217.143,12"
89.294.565/0001-32,"3.937.896,75"
89.424.113/0001-28,"590.837,43"
89.972.988/0001-64,"520.340,15"
90.522.491/0001-23,"181.898,83"
90.705.690/0001-77,"2.457.171,95"
90.721.994/0001-28,"3.690.757,10"
90.985.672/0001-96,"291.432,27"
91.043.687/0001-06,"701.153,34"
91.050.377/0001-00,"73.070,76"
91.272.286/0001-10,"97.900,90"
91.400.051/0001-66,"315.627,56"
91.665.570/0001-56,"130.448,00"
91.825.802/0001-96,"57.622,00"
91.903.963/0001-50,"206.868,64"
91.903.989/0001-07,"893.131,63"
91.904.003/0001-05,"171.424,63"
92.053.198/0001-90,"122.978,00"
92.236.314/0001-06,"3.649.776,11"
92.662.139/0001-19,"2.411.314,32"
92.810.340/0001-04,"146.035,47"
93.088.367/0001-90,"993.304,31"
95.607.909/0001-19,"4.254.816,52"
95.778.395/0001-64,"100.401,25"
