CNPJ,P200 (25)
00.252.256/0001-96,"1.225.020,00"
01.777.154/0001-57,"498.641,40"
01.833.846/0001-75,"25.423,68"
01.856.226/0001-51,"3.607.217,92"
01.902.161/0001-33,"7.367,82"
02.360.958/0001-19,"35.922,41"
02.399.636/0001-83,"9.684,60"
02.990.411/0001-05,"361.528,55"
03.543.895/0001-07,"57.472,79"
03.658.136/0001-81,"134.697,34"
03.663.543/0001-87,"308.521,44"
03.718.562/0001-63,"3.044.179,20"
03.966.481/0001-82,"42.287,78"
07.939.529/0001-14,"1.727.662,62"
15.065.527/0001-71,"67.652,92"
21.513.114/0001-05,"1.094.031,56"
22.731.210/0001-92,"1.827.252,58"
29.220.753/0001-94,"105.543,23"
30.332.787/0001-50,"319.451,20"
33.947.839/0001-90,"167.960,00"
43.260.009/0001-44,"478.915,42"
46.088.993/0001-04,"769.240,42"
46.241.816/0001-08,"708.644,07"
46.705.521/0001-45,"1.455.931,43"
46.992.731/0001-61,"686.343,27"
47.946.082/0001-25,"89.862,06"
48.624.175/0001-04,"21.669,60"
50.186.451/0001-33,"3.057.377,99"
51.694.453/0001-04,"2.568.769,46"
53.114.633/0001-97,"245.097,07"
53.891.065/0001-30,"26.680,17"
55.009.401/0001-02,"119.381,49"
55.338.669/0001-80,"136.055,98"
55.681.456/0001-56,"303.827,13"
56.194.681/0001-20,"116.461,71"
59.600.817/0001-43,"463.856,09"
59.825.323/0001-67,"240.957,46"
60.303.914/0001-53,"2.056.012,18"
61.464.467/0001-87,"394.794,98"
61.538.732/0001-24,"23.976,80"
62.303.888/0001-99,"286.637,90"
71.103.550/0001-84,"65.606,84"
71.457.725/0001-51,"4.461.287,04"
75.137.877/0001-28,"62.115,84"
79.512.638/0001-61,"302.679,39"
80.847.460/0001-99,"321.606,82"
84.375.872/0001-24,"214.015,48"
86.243.482/0001-26,"2.466.079,91"
88.423.173/0001-63,"45.442,56"
91.161.653/0001-08,"145.294,59"
93.213.353/0001-50,"132.041,34"
01.773.119/0001-60,"4.627.053,73"
02.243.356/0001-81,"10.665.797,34"
06.268.106/0001-57,"3.296.803,27"
10.704.625/0001-98,"27.063.121,34"
16.924.581/0001-98,"11.478.770,86"
20.278.397/0001-95,"103.331,33"
23.526.395/0001-66,"388.525,29"
31.396.583/0001-45,"14.912.779,40"
31.503.824/0001-08,"11.848.899,49"
34.482.075/0001-78,"806.740,80"
53.653.945/0001-79,"1.938.667,07"
