CNPJ,P200 (25)
00.252.256/0001-96,"324.076,80"
01.777.154/0001-57,"418.321,44"
01.833.846/0001-75,"6.159,78"
01.902.161/0001-33,"18.221,64"
02.374.573/0001-00,"337.593,05"
02.576.011/0001-40,"200.749,12"
02.990.411/0001-05,"3.517,13"
03.543.895/0001-07,"5.694,26"
03.658.136/0001-81,"19.249,90"
03.663.543/0001-87,"251.276,57"
03.718.562/0001-63,"2.858.921,00"
03.966.481/0001-82,"44.606,20"
04.194.082/0001-03,"5.027,56"
04.469.298/0001-34,"9.951,31"
04.485.882/0001-83,"896.313,13"
07.939.529/0001-14,"1.043.894,33"
12.658.927/0001-00,"3.911.696,93"
15.065.527/0001-71,"65.342,60"
19.714.070/0001-30,"2.283,95"
20.278.397/0001-95,"208.389,97"
21.513.114/0001-05,"509.678,56"
22.731.210/0001-92,"374.612,48"
24.862.997/0001-57,"589.380,90"
25.384.512/0001-20,"39.429,50"
28.928.174/0001-38,"392.332,03"
29.220.753/0001-94,"54.482,66"
30.332.787/0001-50,"244.707,40"
30.459.275/0001-59,"513.485,91"
33.947.839/0001-90,"199.704,00"
40.185.837/0001-77,"211.520,74"
47.946.082/0001-25,"296.824,23"
50.186.451/0001-33,"2.779.379,66"
50.949.429/0001-06,"64.489,49"
51.694.453/0001-04,"524.378,54"
53.114.633/0001-97,"553.631,87"
53.891.065/0001-30,"14.247,11"
54.246.574/0001-73,"1.506.401,01"
54.346.861/0001-55,"180.691,37"
55.009.401/0001-02,"95.089,67"
55.681.456/0001-56,"316.839,84"
56.194.681/0001-20,"102.206,29"
58.071.382/0001-24,"304.636,76"
59.600.817/0001-43,"666.191,71"
59.825.323/0001-67,"191.942,40"
60.303.914/0001-53,"2.246.501,96"
61.464.467/0001-87,"781.724,36"
62.303.888/0001-99,"364.455,84"
71.103.550/0001-84,"59.126,03"
71.457.725/0001-51,"5.032.955,86"
75.137.877/0001-28,"181.928,44"
76.370.998/0001-88,"307.061,61"
77.670.651/0001-13,"30.591,97"
79.649.984/0001-96,"156.576,00"
79.817.763/0001-80,"380.446,50"
80.847.460/0001-99,"495.425,08"
82.943.275/0001-23,"158.373,93"
84.375.872/0001-24,"281.557,23"
85.221.208/0001-93,"408.718,43"
88.423.173/0001-63,"58.488,57"
90.578.212/0001-43,"14.548,67"
91.161.653/0001-08,"50.891,99"
93.213.353/0001-50,"737.744,98"
01.773.119/0001-60,"6.096.040,20"
02.243.356/0001-81,"6.189.388,40"
06.268.106/0001-57,"2.911.506,72"
08.575.590/0001-92,"200.634,82"
10.704.625/0001-98,"18.800.168,37"
16.924.581/0001-98,"7.871.634,45"
23.526.395/0001-66,"1.097.047,53"
31.396.583/0001-45,"15.199.477,16"
31.503.824/0001-08,"12.670.274,95"
34.482.075/0001-78,"3.355.899,04"
53.653.945/0001-79,"12.224.203,56"
