CNPJ,M300(132)
00.001.172/0001-80,"581.660,80"
00.358.614/0001-40,"283.588,69"
00.631.648/0001-66,"189.668,00"
00.756.343/0001-80,"15.518,94"
01.061.837/0001-03,"5.030.126,80"
01.064.278/0001-95,"18.393,37"
01.115.948/0001-55,"18.756,02"
01.276.641/0001-36,"108.848,13"
01.279.835/0001-95,"3.110.038,03"
01.535.640/0001-69,"158.001,12"
01.710.918/0001-97,"6.776.804,80"
01.742.316/0001-11,"130.887,60"
01.755.356/0001-06,"2.368.534,56"
01.757.090/0001-22,"467.773,88"
01.761.016/0001-80,"990,38"
01.764.411/0001-16,"1.227.752,00"
01.769.569/0001-89,"1.511.674,09"
01.772.939/0001-37,"2.234,16"
01.832.291/0001-47,"698.852,53"
01.882.185/0001-78,"4.507.572,05"
01.897.509/0001-41,"2.678.478,85"
01.921.699/0001-95,"6.437.888,14"
02.010.387/0001-92,"63.703,80"
02.015.014/0001-04,"1.479.614,52"
02.131.538/0001-60,"16.728.513,35"
02.305.993/0001-35,"7.040,35"
02.344.518/0001-78,"878.532,57"
02.346.363/0001-09,"26.720,00"
02.360.605/0001-19,"1.163.133,00"
02.380.966/0001-27,"917.755,27"
02.391.395/0001-26,"947.144,24"
02.393.070/0001-82,"734,46"
02.396.921/0001-40,"289.386,58"
02.404.038/0001-55,"183.260,00"
02.428.765/0001-52,"1.043.598,00"
02.531.283/0001-23,"52.121,12"
02.539.160/0001-39,"103.838,69"
02.579.308/0001-69,"2.451.307,50"
02.856.995/0001-12,"1.376.784,78"
02.910.917/0001-59,"3.617.845,04"
03.224.045/0001-38,"3.969.747,00"
03.229.937/0001-21,"8.539.434,68"
03.384.021/0001-46,"947.068,93"
03.476.876/0001-05,"9.304.028,36"
03.521.447/0001-02,"969.130,78"
03.666.084/0001-95,"26.476,70"
03.699.194/0001-53,"6.932.867,17"
03.726.678/0001-44,"28.753,92"
03.770.169/0001-19,"4.504,00"
03.873.325/0001-77,"55.976,76"
04.182.694/0001-86,"127.081,21"
