CNPJ,M300(132)
45.033.859/0001-35,"27.517.437,35"
45.039.237/0001-14,"49.985.916,10"
46.088.993/0001-04,"75.951,68"
46.242.004/0001-87,"98.729.001,29"
46.566.444/0001-90,"4.863.303,90"
46.721.148/0001-16,"2.251.957,38"
47.516.661/0001-38,"4.376.893,33"
48.060.727/0001-90,"14.336.912,88"
48.393.755/0001-20,"518.146,18"
48.665.517/0001-26,"1.638.052,64"
49.236.300/0001-63,"304.554,80"
49.403.371/0001-03,"3.644.832,22"
49.931.645/0001-37,"1.716.672,29"
50.023.373/0001-56,"19.327.922,00"
50.609.973/0001-09,"619.145,92"
51.882.850/0001-00,"129.576,77"
52.388.865/0001-70,"342.068,00"
54.022.488/0001-87,"3.244.864,94"
54.065.370/0001-36,"2.188.321,91"
54.313.556/0001-67,"5.644.013,69"
54.313.564/0001-03,"4.903.578,13"
55.629.216/0001-02,"2.494.205,71"
55.679.260/0001-27,"285.821,00"
56.407.083/0001-92,"17.869.987,80"
57.712.762/0001-38,"105.968,02"
57.728.743/0001-08,"2.933.236,14"
58.018.441/0001-09,"3.352.067,47"
58.178.393/0001-08,"111.079,00"
58.780.453/0001-68,"27.246.880,26"
58.832.528/0001-07,"925.763,77"
58.833.997/0001-40,"32.626.851,55"
59.152.629/0001-08,"13.541.406,88"
59.983.486/0001-78,"1.613.462,36"
60.194.503/0001-77,"148.935,33"
60.509.239/0001-13,"28.387.078,26"
60.628.369/0001-75,"57.423.145,22"
60.628.922/0001-70,"7.986.218,82"
60.694.239/0001-30,"21.481.395,00"
61.784.500/0001-56,"640.160,00"
62.589.932/0001-79,"139.123,35"
67.344.440/0001-37,"9.886.601,50"
68.025.535/0001-50,"349.000,00"
68.737.857/0001-22,"124.915.459,41"
75.387.274/0001-84,"2.030.362,94"
75.635.425/0001-76,"221.987,84"
76.012.145/0001-74,"1.501.841,38"
76.243.625/0001-46,"5.718.986,86"
76.368.240/0001-05,"717.258,84"
76.491.471/0001-01,"532.628,84"
76.494.806/0001-45,"77.580.618,52"
76.498.864/0001-47,"424.006,91"
76.554.757/0001-99,"2.933.970,62"
76.600.188/0001-70,"6.500.702,75"
76.851.492/0001-90,"3.870.889,66"
77.070.332/0001-77,"1.718.796,00"
77.088.235/0001-01,"610.512,32"
77.689.032/0001-70,"2.625.777,50"
77.827.673/0001-44,"1.485.768,92"
77.969.145/0001-20,"2.662.126,88"
78.647.633/0001-83,"607.780,56"
78.712.056/0001-66,"368.497,83"
78.837.515/0001-38,"35.609,60"
79.107.918/0001-94,"6.197.333,36"
79.135.760/0001-66,"13.221.793,63"
79.224.614/0001-07,"981.867,40"
79.419.289/0001-38,"440.490,38"
79.469.813/0001-85,"1.801.604,07"
79.512.638/0001-61,"558.256,00"
79.845.830/0001-70,"3.567.933,70"
79.875.902/0001-21,"3.947.828,60"
80.146.202/0001-85,"20.266,40"
80.242.720/0001-00,"6.810.156,34"
80.430.317/0001-05,"833.326,90"
80.548.332/0001-44,"699.042,96"
80.583.941/0001-34,"1.210.883,36"
80.592.488/0001-22,"2.055.777,72"
80.746.647/0001-04,"538.895,66"
80.774.391/0001-30,"554.944,00"
80.830.334/0001-21,"6.187.942,79"
80.830.573/0001-81,"254.508,00"
81.034.977/0001-21,"3.597.793,70"
81.057.994/0001-84,"786.140,63"
81.670.085/0001-17,"2.898.767,28"
82.611.617/0001-08,"13.378.288,46"
82.645.029/0001-95,"15.867.120,06"
82.916.503/0001-76,"6.775.738,25"
83.093.708/0001-61,"503.908,70"
83.215.384/0001-97,"27.090,00"
83.844.811/0001-04,"240.307,14"
83.879.239/0001-00,"569.760,39"
83.900.050/0001-52,"702.659,98"
84.432.897/0001-12,"207.970,68"
84.684.505/0001-02,"502.992,00"
87.185.468/0001-86,"4.238.487,54"
87.463.535/0001-87,"2.243.936,22"
87.519.237/0001-61,"2.563.128,62"
87.750.121/0001-39,"2.401.445,27"
87.978.771/0001-36,"1.212.106,63"
88.404.645/0001-30,"2.395.830,05"
89.294.565/0001-32,"4.978.091,01"
89.424.113/0001-28,"2.086.919,34"
89.972.988/0001-64,"881.346,24"
90.522.491/0001-23,"208.762,99"
90.705.690/0001-77,"4.406.280,31"
90.721.994/0001-28,"2.898.315,92"
90.985.672/0001-96,"386.899,10"
91.043.687/0001-06,"39.325,84"
91.050.377/0001-00,"114.796,08"
91.272.286/0001-10,"98.055,94"
91.400.051/0001-66,"224.785,34"
91.665.570/0001-56,"75.739,20"
91.825.802/0001-96,"51.822,20"
91.903.963/0001-50,"149.453,32"
91.903.989/0001-07,"1.412.456,48"
91.904.003/0001-05,"96.621,94"
91.904.029/0001-53,"162.931,81"
92.053.198/0001-90,"69.264,00"
92.236.314/0001-06,"5.101.127,11"
92.662.139/0001-19,"3.559.368,14"
92.810.340/0001-04,"939.170,96"
93.088.367/0001-90,"3.515.097,31"
93.146.140/0001-53,"66.734,24"
95.607.909/0001-19,"12.890.475,17"
95.778.395/0001-64,"120.050,74"
