CNPJ,M300(132)
00.001.172/0001-80,"245.180,00"
00.358.614/0001-40,"269.104,73"
00.756.343/0001-80,"87.888,63"
00.833.108/0001-65,"1.951.133,25"
01.061.837/0001-03,"19.669.960,44"
01.064.278/0001-95,"99.960,15"
01.276.641/0001-36,"422.036,73"
01.279.835/0001-95,"8.298.313,21"
01.535.640/0001-69,"964.603,68"
01.710.918/0001-97,"8.692.372,16"
01.742.316/0001-11,"670.516,40"
01.761.016/0001-80,"6.191,60"
01.764.411/0001-16,"1.972.447,71"
01.769.569/0001-89,"4.696.221,25"
01.772.939/0001-37,"36.393,27"
01.832.291/0001-47,"1.535.717,70"
01.873.889/0001-84,"7.672,80"
01.880.536/0001-01,"3.824.779,91"
01.882.185/0001-78,"7.493.062,90"
01.897.509/0001-41,"6.575.310,37"
01.921.699/0001-95,"10.550.979,66"
02.010.387/0001-92,"174.190,80"
02.015.014/0001-04,"7.730.275,49"
02.131.538/0001-60,"39.245.274,76"
02.305.993/0001-35,"65.220,78"
02.344.518/0001-78,"1.007.858,18"
02.346.363/0001-09,"340.800,00"
02.360.605/0001-19,"8.826.733,64"
02.380.966/0001-27,"2.782.934,05"
02.388.498/0001-37,"29.737,64"
02.391.395/0001-26,"349.122,62"
02.393.067/0001-69,"3.187,80"
02.393.069/0001-58,"3.666,26"
02.393.070/0001-82,"4.821,58"
02.396.921/0001-40,"178.607,13"
02.399.894/0001-60,"2.282.029,35"
02.404.038/0001-55,"251.212,00"
02.428.765/0001-52,"1.344.488,55"
02.531.283/0001-23,"313.146,21"
02.539.160/0001-39,"849.318,01"
02.579.308/0001-69,"2.732.018,38"
02.856.995/0001-12,"2.409.411,10"
02.910.917/0001-59,"2.995.241,87"
03.224.045/0001-38,"27.730.707,44"
03.229.937/0001-21,"22.274.872,01"
03.384.021/0001-46,"2.086.311,54"
03.476.876/0001-05,"25.550.499,01"
03.521.447/0001-02,"3.556.648,60"
03.652.435/0001-09,"1.228.199,68"
03.666.084/0001-95,"175.959,96"
03.699.194/0001-53,"8.802.675,33"
03.726.678/0001-44,"170.958,95"
03.770.169/0001-19,"21.714,00"
03.873.325/0001-77,"303.296,40"
04.208.405/0001-70,"175.875,77"
04.382.099/0001-94,"19.388.026,00"
04.387.825/0001-61,"21.224.296,16"
04.400.735/0001-63,"549.486,00"
04.436.460/0001-18,"397.520,63"
04.503.707/0001-71,"903.257,84"
04.642.799/0001-70,"1.116.210,00"
04.758.595/0001-08,"501.296,00"
04.832.721/0001-19,"31.233.334,42"
04.942.709/0001-67,"1.017.464,25"
05.004.523/0001-20,"6.832,00"
05.113.990/0001-98,"6.806.386,61"
05.302.072/0001-07,"266.760,00"
06.122.849/0001-14,"315.550,90"
06.178.113/0001-68,"144.839,83"
06.275.598/0001-08,"14.184.618,07"
06.847.495/0001-75,"8.545.383,23"
07.199.656/0001-24,"1.464.325,04"
07.199.664/0001-70,"32.550.547,80"
07.803.640/0001-89,"889.824,00"
08.148.492/0001-79,"193.568,00"
08.584.526/0001-78,"4.204.412,16"
08.843.146/0001-00,"26.882,03"
08.843.575/0001-88,"8.288.466,56"
08.843.922/0001-72,"315.747,58"
09.045.758/0001-10,"10.966.608,61"
09.045.774/0001-03,"177.375,84"
09.112.681/0001-54,"21.409,22"
09.168.704/0001-42,"2.672.236,60"
09.320.250/0001-83,"182.295,92"
09.368.242/0001-07,"121.341,16"
09.590.480/0001-62,"8.327.059,00"
09.949.314/0001-00,"224.319,62"
10.305.548/0001-01,"175.558,44"
10.740.348/0001-79,"6.357,27"
10.750.065/0001-08,"114.718,72"
10.752.156/0001-82,"173.153,68"
11.042.517/0001-60,"4.962.508,59"
11.457.256/0001-49,"222.984,00"
11.743.564/0001-30,"6.982.031,91"
11.849.746/0001-90,"2.778.822,00"
11.996.667/0001-02,"1.753.276,05"
12.019.360/0001-14,"1.309.634,34"
12.186.524/0001-06,"10.243.925,60"
12.290.151/0001-00,"108.441,61"
12.347.589/0001-88,"444.546,80"
12.377.297/0001-98,"1.019.760,49"
12.706.990/0001-67,"46.618,00"
12.847.935/0001-97,"24.408,00"
12.924.817/0001-35,"256.849,60"
12.926.657/0001-63,"518.122,30"
13.007.182/0001-74,"436.238,88"
13.029.459/0001-60,"2.811.462,98"
13.065.495/0001-89,"356.653,11"
13.079.397/0001-09,"10.874.955,74"
13.425.269/0001-61,"55.043.045,83"
13.476.833/0001-75,"7.199.962,30"
13.494.265/0001-35,"1.064.975,89"
13.810.015/0001-67,"2.054.751,91"
13.884.226/0001-44,"7.916.782,13"
13.954.433/0001-28,"552.434,83"
14.613.673/0001-21,"440.918,80"
14.878.706/0001-65,"725.897,11"
15.122.492/0001-65,"7.612.733,37"
15.199.136/0001-40,"9.460.839,79"
15.929.060/0001-60,"5.957.576,58"
16.284.812/0001-46,"6.470,63"
16.314.163/0001-89,"8.809.467,71"
16.315.327/0001-92,"2.966.294,22"
16.395.923/0001-20,"3.335.659,55"
16.640.849/0001-60,"661.911,42"
16.824.674/0001-40,"223.849,36"
17.143.348/0001-30,"89.528,42"
17.184.649/0001-02,"5.717.708,95"
17.244.708/0001-90,"294.537,39"
17.247.891/0001-88,"267.895,86"
17.247.925/0001-34,"35.947.105,60"
19.183.961/0001-07,"2.214.457,06"
19.600.758/0001-99,"129.423,60"
19.871.375/0001-55,"10.841.062,40"
20.060.471/0001-00,"7.365.159,77"
20.447.645/0001-84,"109.607,49"
20.480.448/0001-67,"128.579,53"
20.672.507/0001-07,"158.492,88"
20.751.657/0001-06,"13.738,61"
21.575.063/0001-46,"13.931.161,97"
22.223.358/0001-16,"224.818,74"
23.188.717/0001-04,"158.533,00"
23.493.364/0001-56,"2.283.852,61"
23.957.546/0001-30,"2.780.371,61"
23.970.247/0001-36,"1.410.824,33"
24.294.209/0001-73,"1.061.827,84"
24.612.251/0001-95,"5.405.553,21"
24.993.164/0001-25,"2.391.063,75"
25.166.281/0001-88,"9.330.972,10"
25.288.333/0001-99,"9.731.184,93"
25.630.013/0001-75,"608.706,47"
25.631.672/0001-26,"16.835.038,25"
25.638.206/0001-72,"406.895,87"
25.640.004/0001-65,"5.062.719,22"
25.649.179/0001-33,"13.044.652,77"
26.197.988/0001-14,"1.090.204,80"
26.232.603/0001-02,"271.937,50"
26.770.404/0001-58,"1.857.437,92"
27.063.726/0001-20,"23.566.852,62"
27.237.981/0001-41,"309.394,00"
27.419.100/0001-03,"3.981.350,44"
27.468.008/0001-33,"8.711,04"
27.646.975/0001-48,"250.972,63"
27.736.586/0001-03,"64.484,80"
27.865.757/0001-02,"831.367.915,80"
27.906.734/0001-90,"16.119.000,62"
28.141.737/0001-43,"502.519,10"
28.485.076/0001-73,"389.694,92"
28.874.055/0001-40,"2.212.664,56"
29.341.120/0001-34,"1.379.443,66"
30.913.990/0001-10,"4.725.864,00"
31.494.693/0001-40,"4.374.343,64"
31.692.999/0001-00,"1.545.048,00"
31.886.245/0001-91,"214.098,83"
31.918.725/0001-97,"7.611.602,95"
31.980.600/0001-97,"7.188.909,18"
32.417.164/0001-05,"448.990,08"
32.418.014/0001-16,"385.696,01"
32.435.315/0001-58,"2.853.986,82"
32.465.841/0001-60,"3.655.992,98"
33.050.733/0001-90,"10.189.703,60"
33.066.234/0001-90,"4.277.363,86"
33.300.914/0001-27,"2.534.396,34"
33.544.040/0001-53,"487.385,20"
43.837.392/0001-50,"2.572,03"
43.915.172/0001-06,"15.535.289,99"
43.924.497/0001-47,"2.934.702,92"
43.944.370/0001-90,"4.885.869,59"
44.060.192/0001-05,"5.844.660,50"
45.008.745/0001-35,"7.919,35"
