CNPJ,P200 (25)
00.252.256/0001-96,"220.660,00"
01.777.154/0001-57,"90.129,40"
01.833.846/0001-75,"35.424,59"
01.856.226/0001-51,"3.583.441,81"
02.360.958/0001-19,"103.000,00"
02.990.411/0001-05,"1.091.093,33"
03.663.543/0001-87,"844.052,41"
03.718.562/0001-63,"1.961.196,42"
03.966.481/0001-82,"7.056,00"
07.939.529/0001-14,"1.591.507,02"
12.658.927/0001-00,"1.538.410,05"
15.065.527/0001-71,"7.947,07"
21.513.114/0001-05,"298.874,40"
22.731.210/0001-92,"296.986,70"
25.384.512/0001-20,"9.123,56"
29.220.753/0001-94,"31.938,54"
30.332.787/0001-50,"125.358,40"
33.947.839/0001-90,"52.120,00"
46.241.816/0001-08,"1.201,20"
46.705.521/0001-45,"853.774,88"
46.992.731/0001-61,"123.500,00"
50.186.451/0001-33,"2.751.428,76"
51.694.453/0001-04,"960.824,23"
53.114.633/0001-97,"261.183,78"
54.246.574/0001-73,"2.088.935,34"
55.681.456/0001-56,"615.761,02"
56.194.681/0001-20,"124.176,24"
59.600.817/0001-43,"404.440,05"
59.825.323/0001-67,"240.134,52"
60.303.914/0001-53,"530.949,72"
61.464.467/0001-87,"391.680,60"
62.303.888/0001-99,"293.004,73"
71.103.550/0001-84,"40.473,41"
71.457.725/0001-51,"3.045.019,86"
75.137.877/0001-28,"171.299,20"
75.767.566/0001-42,"14.087,81"
79.817.763/0001-80,"306.814,89"
80.847.460/0001-99,"89.720,56"
83.191.510/0001-10,"1.126.302,55"
84.375.872/0001-24,"575.533,00"
85.221.208/0001-93,"12.521,34"
93.213.353/0001-50,"68.859,20"
01.773.119/0001-60,"4.451.686,34"
02.243.356/0001-81,"6.607.882,48"
06.268.106/0001-57,"2.579.529,62"
10.704.625/0001-98,"14.906.391,19"
16.924.581/0001-98,"7.028.903,36"
20.278.397/0001-95,"87.505,17"
23.526.395/0001-66,"418.444,87"
31.396.583/0001-45,"17.561.699,11"
31.503.824/0001-08,"13.945.707,93"
34.482.075/0001-78,"2.323.491,82"
53.653.945/0001-79,"2.662.099,36"
