CNPJ,M300(132)
02.526.333/0001-84,"2.787.325,74"
02.579.308/0001-69,"5.512.008,42"
02.856.995/0001-12,"1.432.823,86"
02.910.917/0001-59,"1.902.098,66"
03.224.045/0001-38,"4.999.418,74"
03.229.937/0001-21,"11.828.655,04"
03.384.021/0001-46,"1.205.546,86"
03.476.876/0001-05,"14.288.663,69"
03.521.447/0001-02,"1.179.311,19"
03.699.194/0001-53,"6.980.031,06"
04.382.099/0001-94,"8.813.777,00"
04.387.825/0001-61,"16.798.200,12"
04.832.721/0001-19,"11.485.178,70"
05.113.990/0001-98,"1.284.675,50"
06.122.849/0001-14,"143.227,13"
06.275.598/0001-08,"8.523.731,28"
06.847.495/0001-75,"7.210.636,90"
07.158.751/0001-80,"587.154,00"
08.584.526/0001-78,"3.299.619,35"
08.713.653/0001-20,"774.210,98"
08.843.575/0001-88,"6.290.380,09"
09.168.704/0001-42,"516.155,60"
09.314.824/0001-00,"859.348,78"
09.590.480/0001-62,"5.026.707,25"
10.305.548/0001-01,"611.409,56"
10.752.156/0001-82,"4.351,32"
11.042.517/0001-60,"3.401.786,82"
11.743.564/0001-30,"10.259.246,28"
12.019.360/0001-14,"888.809,20"
12.186.524/0001-06,"7.563.472,80"
12.926.657/0001-63,"1.351.525,01"
13.079.397/0001-09,"5.426.738,48"
13.425.269/0001-61,"38.285.805,09"
13.476.833/0001-75,"4.329.201,74"
13.494.265/0001-35,"650.619,38"
13.810.015/0001-67,"1.340.137,30"
13.884.226/0001-44,"5.086.948,18"
15.122.492/0001-65,"4.656.535,32"
15.199.136/0001-40,"8.791.602,86"
15.929.060/0001-60,"976.592,20"
15.990.708/0001-04,"2.115.658,57"
16.314.163/0001-89,"4.510.760,87"
16.315.327/0001-92,"1.872.569,01"
16.395.923/0001-20,"2.097.251,79"
17.247.925/0001-34,"27.109.956,32"
17.772.153/0001-50,"132.366,14"
19.871.375/0001-55,"4.548.129,33"
20.060.471/0001-00,"4.357.905,15"
21.575.063/0001-46,"6.607.900,06"
23.526.395/0001-66,"539.419,52"
23.957.546/0001-30,"1.808.335,66"
24.294.209/0001-73,"1.010.375,93"
24.612.251/0001-95,"3.527.233,44"
24.780.405/0001-58,"1.335.016,17"
24.862.914/0001-20,"1.062.504,62"
24.993.164/0001-25,"1.503.042,21"
25.166.281/0001-88,"6.089.991,20"
25.288.333/0001-99,"10.403.400,26"
25.631.672/0001-26,"9.788.060,74"
25.640.004/0001-65,"5.374.036,60"
25.649.179/0001-33,"3.344.396,44"
26.770.404/0001-58,"1.134.806,65"
27.063.726/0001-20,"12.707.396,25"
27.419.100/0001-03,"2.659.180,37"
27.865.757/0001-02,"557.543.758,40"
29.060.043/0001-44,"300.253,92"
29.341.120/0001-34,"725.794,37"
31.494.693/0001-40,"2.742.169,72"
31.918.725/0001-97,"5.739.484,39"
32.435.315/0001-58,"1.881.286,08"
32.465.841/0001-60,"2.399.818,86"
43.915.172/0001-06,"6.663.132,08"
45.033.859/0001-35,"14.201.456,00"
45.039.237/0001-14,"48.047.245,02"
46.242.004/0001-87,"68.992.934,15"
46.721.148/0001-16,"880.915,69"
47.516.661/0001-38,"2.275.038,74"
48.393.755/0001-20,"168.007,10"
50.023.373/0001-56,"14.719.250,59"
50.609.973/0001-09,"879.987,40"
53.268.231/0001-47,"1.680.806,13"
54.022.488/0001-87,"1.476.821,73"
54.065.370/0001-36,"5.137.084,33"
54.313.556/0001-67,"2.562.730,06"
54.313.564/0001-03,"1.854.908,89"
55.629.216/0001-02,"1.624.277,44"
55.752.315/0001-87,"84.905,68"
56.407.083/0001-92,"12.569.858,16"
58.018.441/0001-09,"1.412.306,44"
58.780.453/0001-68,"19.468.560,25"
58.833.997/0001-40,"16.873.042,20"
59.152.629/0001-08,"10.704.011,96"
59.983.486/0001-78,"1.754.392,31"
60.509.239/0001-13,"34.860.069,79"
60.628.369/0001-75,"63.343.179,05"
68.737.857/0001-22,"61.318.929,60"
75.387.274/0001-84,"535.880,70"
76.243.625/0001-46,"2.464.938,15"
